Severity,TAPP,Row,Field,Check,Message
INFO,(cross-TAPP),,Data Reduction Software,colb-divergence-principled,Description differs across 15 TAPPs in 7 variants (similarity 0.01) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Detection Limit,colb-divergence-principled,Description differs across 12 TAPPs in 5 variants (similarity 0.02) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Detection Limit Method,colb-divergence-mixed,Description differs across 12 TAPPs in 5 variants (similarity 0.03) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,Detector Configuration,colb-divergence-principled,Description differs across 8 TAPPs in 3 variants (similarity 0.22) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Doubly-Charged Species Monitor,colb-divergence-principled,Description differs across 8 TAPPs in 3 variants (similarity 0.38) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Doubly-Charged Species Production,colb-divergence-mixed,Description differs across 8 TAPPs in 2 variants (similarity 0.49) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,Drift Correction,colb-divergence-principled,Description differs across 3 TAPPs in 2 variants (similarity 0.20) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Dwell Time per Mass,colb-divergence-mixed,Description differs across 6 TAPPs in 2 variants (similarity 0.24) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,Dwell Time per Pixel,colb-divergence-mixed,Description differs across 5 TAPPs in 2 variants (similarity 0.14) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,EDS Acquisition Mode,colb-divergence-mixed,Description differs across 4 TAPPs in 2 variants (similarity 0.08) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,EDS Dead Time,colb-divergence-principled,Description differs across 4 TAPPs in 2 variants (similarity 0.85) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,EDS Detector Configuration,colb-divergence-mixed,Description differs across 4 TAPPs in 3 variants (similarity 0.45) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,EDS Live Time per Point or Pixel,colb-divergence-principled,Description differs across 4 TAPPs in 3 variants (similarity 0.37) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Guard Electrode,colb-divergence-principled,Description differs across 9 TAPPs in 3 variants (similarity 0.32) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,ICP-MS Type,colb-divergence-principled,Description differs across 9 TAPPs in 4 variants (similarity 0.12) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Instrument Make and Model,colb-divergence-principled,Description differs across 3 TAPPs in 3 variants (similarity 0.34) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Instrument Model,colb-divergence-principled,Description differs across 6 TAPPs in 3 variants (similarity 0.44) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Interface Cone Configuration,colb-divergence-principled,Description differs across 9 TAPPs in 4 variants (similarity 0.09) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Interference Correction Method,colb-divergence-principled,Description differs across 9 TAPPs in 4 variants (similarity 0.04) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Interfering Species,colb-divergence-principled,Description differs across 9 TAPPs in 4 variants (similarity 0.02) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Internal Standard Approach,colb-divergence-principled,Description differs across 8 TAPPs in 2 variants (similarity 0.38) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Internal Standard Element,colb-divergence-principled,Description differs across 9 TAPPs in 3 variants (similarity 0.08) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Isobaric Interference Corrections Applied,colb-divergence-principled,Description differs across 9 TAPPs in 4 variants (similarity 0.10) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Isotope Dilution Data Reduction Method,colb-divergence-principled,Description differs across 9 TAPPs in 4 variants (similarity 0.35) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Limit of Quantification (LOQ) Method,colb-divergence-mixed,Description differs across 9 TAPPs in 3 variants (similarity 0.06) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,Map Area,colb-divergence-mixed,Description differs across 3 TAPPs in 2 variants (similarity 0.28) — triaged 2026-08-12 as MIXED. On the harmonisation backlog: see analysis/Triage_ColB_Uniformity_2026-08-12.csv.
INFO,(cross-TAPP),,Mass Bias Correction Strategy,colb-divergence-principled,Description differs across 7 TAPPs in 2 variants (similarity 0.11) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Mass Resolution Setting,colb-divergence-principled,Description differs across 9 TAPPs in 6 variants (similarity 0.09) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Memory Effect Mitigation,colb-divergence-principled,Description differs across 9 TAPPs in 3 variants (similarity 0.07) — triaged 2026-08-12 as PRINCIPLED.
INFO,(cross-TAPP),,Normalization / Standards-Based Correction,colb-divergence-principled,Description differs across 12 TAPPs in 5 variants (similarity 0.07) — triaged 2026-08-12 as PRINCIPLED.
